Creative,Impressions,Clicks,CTR(%),Total Conversions
5243190_IL_Rockford_Scotts RV Truck and Auto Repair_320x50_we service all vehicles.gif,"11,388",48,0.42,0
5243190_IL_Rockford_Scotts RV Truck and Auto Repair_320x50_we keep you rolling straight.gif,"11,329",45,0.4,0
5243190_IL_Rockford_Scotts RV Truck and Auto Repair_320x50_get rolling again.gif,"11,319",43,0.38,0
5243190_IL_Rockford_Scotts RV Truck and Auto Repair_300x250_get rolling again.gif,"3,847",26,0.68,0
5243190_IL_Rockford_Scotts RV Truck and Auto Repair_728x90_we keep you rolling straight.gif,"2,797",22,0.79,0
5243190_IL_Rockford_Scotts RV Truck and Auto Repair_300x250_we keep you rolling straight.gif,"4,051",17,0.42,0
5243190_IL_Rockford_Scotts RV Truck and Auto Repair_300x250_we service all vehicles.gif,"3,986",16,0.4,0
5243190_IL_Rockford_Scotts RV Truck and Auto Repair_728x90_get rolling again.gif,"2,712",14,0.52,0
5243190_IL_Rockford_Scotts RV Truck and Auto Repair_728x90_we service all vehicles.gif,"2,689",10,0.37,0
5243190_IL_Rockford_Scotts RV Truck and Auto Repair300x600_we service all vehicles.gif,506,3,0.59,0
5243190_IL_Rockford_Scotts RV Truck and Auto Repair_300x600_we keep you rolling straight.gif,454,1,0.22,0
5243190_IL_Rockford_Scotts RV Truck and Auto Repair_160x600_we keep you rolling straight.gif,221,0,,0
5243190_IL_Rockford_Scotts RV Truck and Auto Repair_160x600_we service all vehicles.gif,227,0,,0
5243190_IL_Rockford_Scotts RV Truck and Auto Repair_160x600_get rolling again.gif,231,0,,0